"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Sabhi Service achhi hai aur jaldi se Loan mill jata hai Loan Home Credit se.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
8,CUSTOMER CARE SY CONTACT NAHI HO PATA H AND EXTRA CHARGE   KATT  JATY H,5,Detractor,No positive reason
10,jarurat ke time par Loan mill jata hai Home Credit se.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
5,Home Credit gives loan at the time of need but the interest rate is very high.,5,Detractor,I received the loan from HC when I was in need
5,customer's jo EMI pay kerta hain wo app mein show nhi hota hain,3,Detractor,No positive reason
6,interest bhut jada  hai or customer ke saath jhooth bola jata  hai,3,Detractor,No positive reason
10,all good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Home Credit ki Overall sabhi service achhi laggi bass ek hi dikkat hai ki kabhi kabhi bank se EMI cut nhi hota hai manually Online pay karna padta hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
10,"NEGETIVE : CHARGERS JADA LAGTE HAI ,  POSITIVE : JARURAT TIME PAR KABHI BHI USE KAR SAKTE HAI ASAN HAI CARD USE",10,Promoters,"Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection"
8,"HC everything is good 
Home credit option should be available online also, example Flipkart and Amazon.",8,Passive,No positive reason
4,CUSTOMER CARE SY CONTACT NAHI HO PATA EMERGENCY K TIME,2,Detractor,No positive reason
10,process good,8,Passive,No positive reason
8,LOAN APPROVAL JALDI MIL JATA HAIN,9,Promoters,Good previous experience / HC resolved my problem
10,"emi process is good, emi ke time call or message karte hai , emi bounce nhi hoti .",10,Promoters,"Affordable Product & Services - Price, fees and terms|Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need"
5,INTEREST JADA HAI,8,Passive,"Application Process - Easy, Fast and Convenient"
9,over all service ache lagi,9,Promoters,Customer care service is good
10,quick loan approval service,10,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good"
9,Jarurat ke time par Loan jaldi se mill gya tha Home Credit se.,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems
9,ager customer ki EMI 2-3 din late ho jati hain too extra charges nhi lagte hain,10,Promoters,"Affordable Product & Services - Price, fees and terms|Others"
1,customer  care se baat easy nhi hai. long time se customer care se call connected nhi ho pa rahi hai .,0,Detractor,No positive reason
10,JALDI  APPROVAL MILL JATA H,10,Promoters,I received the loan from HC when I was in need
1,FLEXIBLE LOAN  ME MUJHE JAYDA PROBLAM HO RAHI HAI ISME JAYDA CHARG LIYA JA RAHA HAI    POGTIVE......PERSONAL LOAN  LEYNA MUJHE ACHA LAGA THA,0,Detractor,No positive reason
10,"POSITIVE : OVERALL SERVICE IS GOOD , NEGETIVE : CARD BAND KARDIYA GAYA HAI",8,Passive,No positive reason
9,Home Credit se Loan aasani se aur jaldi se mill jata hai aur EMI Late hone ke baad bhi Home Credit thoda sa time deta hai Pay karne ka.,9,Promoters,"Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|Already recommended to my friends"
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
5,Interest rate bhut jyada lagg raha hai aur Loan lete time kam Interest ke baare me bataya gya tha mujhe.,3,Detractor,No positive reason
3,ONE MONTH ME MAYRI  2 EMI KAT LI,5,Detractor,Quick loan approvals / Higher chances of loan getting approved
10,Home Credit Ki Flexible Loan bhut achaa laga aur Interest Rate bhi acha laga.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Already recommended to my friends|Affordable Product & Services - Price, fees and terms"
