"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,Home Credit se Loan aasani se aur jaldi mill jata hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
10,"Home Credit's work is perfect If there is any work, it gets processed immediately",10,Promoters,Overall satisfaction – Everything was ok/without problems
10,over all service ache lagi,10,Promoters,Customer care service is good
5,credit limit kam hai,2,Detractor,No positive reason
7,EMI date change karne ke liye option hona chahiye,9,Promoters,Customer care service is good
10,TIME SE LOAN MILL JATA HAI,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient"
10,customer care service is good,10,Promoters,I received the loan from HC when I was in need|Customer care service is good
5,customer care se  direct baat nhi ho pati . customer ki problem slove nhi hoti hai.,2,Detractor,No positive reason
9,customer service ache hai,8,Passive,No positive reason
10,"Positive: loan approvalis fast and application process easy and fast 
Negative: interest rate is not good and customer care service is also not good",10,Promoters,"Application Process - Easy, Fast and Convenient"
10,time par loan mill gaya,8,Passive,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need"
10,customer service fast hai,10,Promoters,Customer care service is good
10,jarurat pr loan mil jata h,10,Promoters,Already recommended to my friends
8,Good service home credit,5,Detractor,No positive reason
1,EXTERA CHARGE LAGAY    GYA  EMI TIME PER PAY KARNAY PER,0,Detractor,No positive reason
10,"quick loan approval, you will get instant loan",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good
10,time per loan mil jata hai. document kam lagte hai.,8,Passive,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|I received the loan from HC when I was in need
10,"timely service , all work done on time , time to time update",10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,"NEGETIVE : INETESRT RATE JADA , POSITIVE : JARURAT KE TIMA PAR LOAN MIL GAYA",7,Passive,No positive reason
10,customer service ache hai,10,Promoters,Customer care service is good
8,ONE WEEK EMI LATE HONY PER FLAXIBAL CARD BLOCK KAR DIYA GYA,10,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process
6,customer care not Available,7,Passive,"Application Process - Easy, Fast and Convenient"
10,ग्राहकों के प्रति  ACHA व्यवहार,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,time per loan mil jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need"
10,EASY PROCESS HAI EMI LATE HONE PAR  PANELTY NHI LAGTI,10,Promoters,Already recommended to my friends
10,future aachi h or time pr  kam ho jata hai,10,Promoters,Already recommended to my friends
9,loan time se mill gaya,7,Passive,No positive reason
10,JAURAT K TIME PER LOAN MILL JATA H,10,Promoters,I received the loan from HC when I was in need
9,All the documentation of the loan has been made easy,8,Passive,"Affordable Product & Services - Price, fees and terms|Already recommended to my friends"
5,file charges and processing fees is too high,8,Passive,"Application Process - Easy, Fast and Convenient"
10,Home Credit gives the loan at the time when it is needed and the money comes into the account immediately.,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,"Positive: loan approval is fast and application process easy and fast  
Negative: interest rate thoda kam hona chayia",7,Passive,No positive reason
8,interest rate jayda hai = everything is good.,9,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
1,"LOAN KI SHARTO KE BARE ME PURIE JANKARI NAHI DI ,JAYDA CHARG KAT HO RAHA HAI BANK SE",0,Detractor,No positive reason
10,loan time par mill gaya,10,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good"
9,i got loan from home credit,8,Passive,"Application Process - Easy, Fast and Convenient"
10,JARURAT KE TIME PAR LOAN MIL GAYA,8,Passive,No positive reason
9,Received the loan on time,7,Passive,Convenient repayment process / collection|Already recommended to my friends
1,"The customer is paying the installments on time, yet extra money is being deducted from the customer.",1,Detractor,No positive reason
7,Services is good but score 10 is too high for evaluation,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good
10,JALDIE LOAN MIL GYA,8,Passive,No positive reason
10,loan approval is fast and interest rate is also good,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,INTEREST RATE JADA HAI,8,Passive,"Application Process - Easy, Fast and Convenient|Affordable Product & Services - Price, fees and terms"
10,The loan process is quite good,10,Promoters,No positive reason
7,The loan was received at the said time,5,Detractor,"Affordable Product & Services - Price, fees and terms"
5,customer care proper information nahi dete,2,Detractor,No positive reason
9,FINANCEL SERVICE ACHI LAGI,10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems
8,Abhi ke time par hum itna hi Rating de skte hai baaki Home Credit ki Overall service achhi laggi.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
5,EMI pay kerne k baad bhi extra charges lagte hain,8,Passive,Quick loan approvals / Higher chances of loan getting approved
2,customer care se baat nahi ho pati,0,Detractor,No positive reason
8,"emi badhai gai ,interest rate pata nhi lagta hai. emi kam karni  hai.",8,Passive,HC removed my late payment charges/penalty charges
6,customer care side no respones,3,Detractor,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
10,"EMI date Due hone ke baad bhi Home Credit thoda sa time dete hai aur achhe se baat karte hai, customer ko paresaan nhi karte hai.",10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems
10,Loan is available through easy process and the method of loan repayment is also quite easy,10,Promoters,"Convenient repayment process / collection|Application Process - Easy, Fast and Convenient"
6,Because the interest rate is very low,3,Detractor,"Application Process - Easy, Fast and Convenient"
9,JRURAT  K TIME PER FLAXIBAL LOAN MILL GYA,9,Promoters,I received the loan from HC when I was in need
10,Flexible Loan bhut acha laga Home Credit ka bass thoda sa Interest Rate jyada hai.,10,Promoters,I received the loan from HC when I was in need
10,fast process hai home credit ka,10,Promoters,"Convenient repayment process / collection|Affordable Product & Services - Price, fees and terms"
8,positive: services is good BUT negative: interest rate is high,9,Promoters,Overall satisfaction – Everything was ok/without problems
8,interest rate thoda kam hona chayia,10,Promoters,I received the loan from HC when I was in need
10,Interest Rate acha laga aur aasani se Loan mill jata hai.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Affordable Product & Services - Price, fees and terms"
10,loan jaldi mil jata hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,TIME PER APPROVAL MIL JATA HAI LOAN KE LIYE .,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
10,"Positive*The loan was available at the time of need service is good 
Negative* The customer is not aware of how much EMI he has to pay. There is no option to pay the full amount.",10,Promoters,I received the loan from HC when I was in need
10,Ghar baithe sab kaam Online se ho jata hai.,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process|Overall satisfaction – Everything was ok/without problems"
7,interest rate thoda kam hona chayia,8,Passive,No positive reason
10,time pe loan mil jata h,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,CUSTOMER CARE BEHAVIOR ACHA HAI,9,Promoters,"Affordable Product & Services - Price, fees and terms"
10,JALDI LOAN APPROD HO JATA H,10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,all good / processing  good,10,Promoters,Already recommended to my friends
6,"no contact with customer care , no resolution for any query",8,Passive,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need"
10,overall service is good,10,Promoters,HC removed my late payment charges/penalty charges
7,complete jankari mill ni chahiye customer ko,5,Detractor,No positive reason
9,Loan aasani se aur Jaldi mill jata hai Home Credit se.,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
5,CUSTOBER CARE ME CALL CONNECT  NAHI HOTIE HAI,8,Passive,Already recommended to my friends
10,home credit mein jaldi finance ho jata or turant loan mil jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,overall service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,COMPANY BADIYA H AND JALDI APPROVAL MILL JATA H,9,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
1,"call support is not good , customer care se baat karna easy nhi hai.",0,Detractor,No positive reason
10,interest rate is good as compare to others company,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,loan offer / all good,10,Promoters,Already recommended to my friends
8,interest rat jada hai,10,Promoters,Customer care service is good
10,jarurat k time par loan mil jata hain and interest rate bhi accha hain,10,Promoters,"Application Process - Easy, Fast and Convenient|Good previous experience / HC resolved my problem"
7,CONDITION CLEARLY NHI BATAI JATI CUSTOMER KO EMI REGARDING,10,Promoters,I received the loan from HC when I was in need
9,service acha h or jaldi apply ho jata hai aur main purana customer hu,10,Promoters,Overall satisfaction – Everything was ok/without problems|Less Documents required for taking a loan / convenient loan application process
10,jarurat k time loan mill jata h,10,Promoters,I received the loan from HC when I was in need
5,LOAN KO CLOSE KARVANE KE LIYA  PROBLAM HOTIE HAI JADA,5,Detractor,No positive reason
10,quick loan approval services,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
5,interest rat jada hai,5,Detractor,No positive reason
10,home credit me finance asani ho jata h,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,overall service is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,customer  care sy sport nahi ho pata h and panelty bhi lagi emi date sy phly,10,Promoters,Good previous experience / HC resolved my problem
9,"Positive* Service is good 
Negative* Never able to talk to Home Credit, if there is an emergency the call never goes through.",9,Promoters,Already recommended to my friends
10,"flexible loan is good , civil score maintain very good in home credit  ,  less documentation",10,Promoters,Others
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,interest rate jada hai,7,Passive,No positive reason
8,flexible loan me interest jada hai to forclose krna chahte,8,Passive,No positive reason
10,jarurat k time per loan mill jata h,10,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process
