"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
5,phones jada aate hain,8,Passive,No positive reason,,,,"Yes, I will recommend the brand to people I know|Will recommend but am not sure whether they will take it or not",,,No negative reason,,,No,,No,,kam ke time hi calls aane chaiye
7,interest rate jada hai home credit ka,6,Detractor,Already recommended to my friends,,,,Will recommend but am not sure whether they will take it or not|Others,,jarurat hai toh le lena chahiye,High interest rate,,,No,,No,,interst rate jada hai kam hona chahiye
9,"loan time per mil jata hai , time per close bhi ke sakte hai. everything is good.",10,Promoters,"I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,"call karke update karte hai, time per loan mil jata hai .",No,,"number diya jaay, direct  customer ki baat ho sake. loan close karne ke liye ."
10,good customer services,10,Promoters,I received the loan from HC when I was in need,,,,Don’t have much experience to recommend / Too early to comment.,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges|Not happy with the loan amount offered",,,Yes,The interest rate will be very low as it is available at the time of loan,Yes,The loan has already been received,no suggestions
10,Purchases of goods through home credit,10,Promoters,"Good previous experience / HC resolved my problem|Easily available in shops / Dealer recommendation|Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection",,,,No neutral reason,,,No negative reason,,,Yes,Everything was done quickly for me,No,,Interest rate should be reduced
9,interest kam hai / panalty kam lagti hai,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,payment turant aata hai  / interest kam lagta hai,No,,no suggestion
10,need ke time loan mil jata  hai.,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,time per loan  mil gaya .,No,,no suggestion. everything is good.
9,customer care sport acha lga,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,over all service is good specialy customer care sport,No,,no suggestion
8,extra charges liy jare bataya nhi gya,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,easy process hai asani se loan mil jata,No,,no suggestion
8,किस्त की डेट आने से पहले  अगर में २ दिन पहले ही पेमेंट पे करना चाहता हूं  तो ऑनलाइन पेमेंट पे नहीं कर पाता हू,10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,जितने रुपए का मुझे लोन चाहिए था उतना मुझे लोन मिल गया,No,,"किस्त की  डेट आने से पहले ही अगर कोई कस्टमर पेमेंट पे करना चाहता है ,तो ऑनलाइन पेमेंट पे करने में कस्टमर को कोई प्रॉब्लम नहीं होनी चाहिए"
7,loan complete hone ke bad bi charge's kat te rehte hai.,10,Promoters,"Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,No,,No,,interest rate  kam hona cahiye.
10,"EMI one day late, ayina second day kate option estunnaru ga adi manchiga anipinchindi",10,Promoters,Easily available in shops / Dealer recommendation|Good previous experience / HC resolved my problem,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,Overall satisfaction ... quick loan approvals,No,,no suggestions
9,Fast  Approval and disbursal,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,Agent like if payment deducted from ECS,No,,no suggestion
1,Interest rate is so high and loan time period is too long,0,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,No,,No,,interest rate must be low or reduced and loan time period is also less
9,loan service acchi hai jaldi approval aajata hai.,10,Promoters,I received the loan from HC when I was in need,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,customer's ki humesha help krte hai.,No,,no suggestion.
9,need ke time per loan mil gaya .,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"loan time per mil gaya , customer service is good.",No,,interest  rate kam kiya jaay.
9,Customer not response,7,Passive,No positive reason,,,,I don’t like to recommend to anyone.,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges",,,Yes,Loan benefit,No,,benefit
9,loan approval jaldi aa jata hain,10,Promoters,"Already recommended to my friends|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,loan approval jaldi aa jata hain,No,,no suggestion
9,The cash is instantly credited to the account which should not take much time,10,Promoters,Good previous experience / HC resolved my problem|No positive reason,,,,No neutral reason,,,No negative reason,,,Yes,"Easy to approve, Similarly cash is easily received in the account",No,,satisfied with home credit
9,time se loan mil jata hai. time se pay kr rahe hai.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,offer's milte rehte hai.,No,,emi agar 1/2 din late ho jati hai toh koi bi extra charge nahi lagna chiye
9,fast loan mil jata hai,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,fast loan mil jata hai / kafi time loan or product le chuke,No,,no suggestion
10,anntha bagundi .....EMI   katadam okka roju late ayite back to back call's vastay,8,Passive,Easily available in shops / Dealer recommendation,,,,No neutral reason,,,No negative reason,,,Yes,Quick loan approvals,No,,no suggestions
9,Loans are easily available.,9,Promoters,HC removed my late payment charges/penalty charges|No positive reason,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,No,,No,,no suggestion
10,"Customer response is all good, everything is going to be good",10,Promoters,Good previous experience / HC resolved my problem|HC removed my late payment charges/penalty charges|No positive reason,,,,No neutral reason,,,No negative reason,,,Yes,Directorate can deal with everything,No,,satisfied with home credit
9,intest rate kam hai आसान repayment और collection process,10,Promoters,"Affordable Product & Services - Price, fees and terms|Convenient repayment process / collection|HC removed my late payment charges/penalty charges",,,,No neutral reason,,,No negative reason,,,Yes,easy process hai home credit ka,No,,no suggestion
10,So nothing in particular I am perfect for everything,10,Promoters,Good previous experience / HC resolved my problem|No positive reason,,,,No neutral reason,,,No negative reason,,,Yes,I got loan and things easily,No,,satisfied with home credit
9,"loan process is good ,loan jaldi mil jata hai.",10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,overall  service is good .,No,,no suggestion.
9,It was good service,9,Promoters,"Application Process - Easy, Fast and Convenient",,,,I don’t like to recommend to anyone.,,,"Expensive fees & Charges - Penalty charges, Bounce charges, late payment charges|No negative reason|Too many calls/SMS bothering customer",,,Yes,good services customer,No,,no suggestion
9,जल्दी लोन मिल गया,10,Promoters,"Less Documents required for taking a loan / convenient loan application process|Customer care service is good|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,Yes,कम समय में जल्दी लोन मिल गया,No,,"लोन लेने के one month बाद ही अगर कोई कस्टमर लोन वापस करना चाहता है  पूरा ,तो कंपनी को लोन वापस ले लेना चाहिए"
5,Getting a loan is easy,8,Passive,No positive reason|HC removed my late payment charges/penalty charges,,,,Score 10 is too high for evaluation.,,,High interest rate,,,Yes,The money has already been received. The money has already been given,No,,no suggestions
10,Loans are easily serviced.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Easily available in shops / Dealer recommendation,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion
9,The loan process was completed quickly and the loan was also approved quickly.,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems",,,,No neutral reason,,,No negative reason,,,Yes,customer care department acha lga,No,,Home credit facilities should be available at every shop in Banaras.
7,Sometimes customer care can't reach my contact,10,Promoters,Good previous experience / HC resolved my problem,,,,No neutral reason,,,No negative reason,,,Yes,Get it quickly without any delay,No,,It would have been nice if they didn't bring up customer care availability imprve
10,The application process is simple.,10,Promoters,HC removed my late payment charges/penalty charges,,,,No neutral reason,,,No negative reason,,,Yes,Loans are easily available from Home Credit.,No,,No suggestion.
9,loan approval jaldi aa jata hain,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,Documentation is less and customer service is good,No,,interest rate thoda kam hona cheyia
